"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IFITM5",13.5853511083365,-1.81266016874888,0.361499966866085,-5.01427478531518,5.32338643163526e-07,4.38097091266017e-06
"TDRD1",79.8312460983973,-1.8089477522941,0.337287810526459,-5.36321709779724,8.17526495399334e-08,8.12804320696667e-07
"AC006041.1",1.75761236067424,-1.80741425549721,0.298098388246953,-6.06314668833398,1.33483817765324e-09,1.9583721757077e-08
"LINC00642",13.0687085427854,-1.80481647375084,0.251648515576045,-7.17197345519586,7.39242783206063e-13,2.27290627984792e-11
"MSLNL",10.0249465240637,-1.80214742017406,0.330757574130307,-5.4485446778131,5.07836354404393e-08,5.25218306878106e-07
"AL354977.2",2.92467100920074,-1.79609498473559,0.341644201990356,-5.25720903288238,1.46258038662581e-07,1.37238377675212e-06
"LINC01381",0.824362053085663,-1.79315608900278,0.433513688250431,-4.13633095702141,3.52903109273217e-05,0.000184745855819934
"MUC12",496.558135132778,-1.78070884138135,0.232082931098789,-7.67272643856508,1.68378347027894e-14,7.59297724913155e-13
"RPL7AP28",6.44450910962923,-1.77429826527291,0.440941286101025,-4.02388780819766,5.7245195715625e-05,0.000284903287209454
"CYSLTR2",2534.85227098094,-1.76897089320555,0.292679399341803,-6.04405672959467,1.50286629534475e-09,2.18328985995901e-08
"COX6B2",31.2289219240671,-1.73931519447203,0.230684868444307,-7.53978883054457,4.70733095967936e-14,1.92670756349679e-12
"AC092590.1",5.90960976816519,-1.73608870231825,0.574649931648951,-3.02112400385496,0.00251838199773381,0.00796805648322868
"AP000345.2",99.2190588051651,-1.7311753281672,0.209623553964291,-8.25849622062079,1.47519136174073e-16,1.00846592452616e-14
"HTR3D",4.6044758143763,-1.72649419858632,0.240682361698674,-7.17333080164732,7.3194700382926e-13,2.25227044530255e-11
"AL512347.1",6.28986318883753,-1.71343973532439,0.333059898308939,-5.14453929765821,2.68178113318582e-07,2.36556287739905e-06
"ZDHHC11B",241.960126682111,-1.71169914522348,0.205728574112256,-8.32018183477757,8.78284673644505e-17,6.3177507233279e-15
"AL158013.1",3.73771611289847,-1.71117682220426,0.525716704639986,-3.25494093511083,0.00113415950572374,0.0039702790904925
"LINC01133",18.9918187558724,-1.70951015990087,0.288377893021144,-5.92802084095792,3.06607592027282e-09,4.14937252306208e-08
"LINC00244",7.04599224675897,-1.70303592939316,0.245462879447623,-6.93805895712456,3.97523827454014e-12,1.03523439451511e-10
"PCDHGA3",50.1871645569476,-1.70268038268284,0.241754315399595,-7.04301960388373,1.88117749160713e-12,5.2711249539538e-11
"GPC5-AS1",45.1387306312911,-1.69336071512089,0.396478803073743,-4.27099936236928,1.94598964799319e-05,0.000109118058272288
"SYCE1",4.35677861021305,-1.6871655109963,0.286528554888015,-5.8882979801287,3.90193127163321e-09,5.15568410243626e-08
"ATXN8OS",0.993010953671739,-1.68399479220013,0.490997416688038,-3.4297426726994,0.000604153916037419,0.00229291843554865
"PGGHG",21584.0425663776,-1.68325005692374,0.225726555623936,-7.45703159413846,8.84934897829958e-14,3.34505391379724e-12
"AL662860.1",4.91441379460328,-1.68293305061781,0.306706283617108,-5.48711630805314,4.08548151777825e-08,4.32680261797281e-07
"SLC13A2",454.443195657009,-1.68202156132817,0.281571752724971,-5.97368715096611,2.31950414644606e-09,3.22621940369316e-08
"FEN1P1",0.720624120258777,-1.67822657829609,0.491168777871853,-3.41680223561347,0.000633612891446619,0.00238756632550976
"AC020922.1",1.00169896190503,-1.67638143973135,0.361583575606637,-4.63622120257771,3.54836237787979e-06,2.37931582333101e-05
"AC244035.1",38.8110873783228,-1.67304829658979,0.24845320870565,-6.73385666985652,1.6522394322862e-11,3.73191233457685e-10
"LINC01748",72.5926008247927,-1.67044310072708,0.263778985068203,-6.33273761476931,2.40848955906336e-10,4.20379010589619e-09
"ZDHHC8P1",733.741033070821,-1.65565910560873,0.247608148996715,-6.68660992102768,2.28399607780122e-11,5.02348846410175e-10
"TTLL2",51.2491423340984,-1.64578724072314,0.226483868304149,-7.26668637835599,3.68412789674525e-13,1.20786764614719e-11
"LMO7DN-IT1",8.71834864035962,-1.64314140734647,0.455563397706937,-3.60683368246257,0.000309956190040904,0.00126770667903014
"AC010487.2",40.548844456952,-1.64212733959638,0.211035003873244,-7.78130314619609,7.17812586247313e-15,3.45390294230747e-13
"AC005009.1",2.91310039352306,-1.64014427498537,0.490920569149909,-3.34095651731499,0.000834902976769058,0.003040229285865
"AC008154.2",1.15511278571083,-1.63601189901398,0.311248466163166,-5.25628903230107,1.46991217205578e-07,1.37860329831213e-06
"AP005482.1",7.80464643716088,-1.63536596598052,0.392439728896716,-4.16717739199877,3.0839450791125e-05,0.000163848127973352
"AC024595.1",1.09665717005584,-1.63100934833666,0.674400648321556,-2.41845756286846,0.0155864635182368,0.0383118001143778
"AL512413.1",15.4340201788787,-1.62675192857642,0.193453697372221,-8.40899890089155,4.13524989530717e-17,3.17606962078612e-15
