"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CELA3B",0.700073457583459,1.38810032584294,0.568686202253343,2.44088975667562,0.0146511265742367,0.0363295926552363
"CXXC4",42.4992312830028,1.38770877906949,0.208978393375004,6.6404414191246,3.12745115701197e-11,6.70538942031315e-10
"RHAG",1.09261936185379,1.38659999628725,0.527429040067129,2.62897923882001,0.00856415892225005,0.0229736110350152
"IGKV1-9",166.431686461245,1.38559671369139,0.355960302919102,3.89255965434521,9.91920983183096e-05,0.000463457409447497
"IGHV3-41",3.1731875335414,1.38555182859086,0.471247446472999,2.9401789632196,0.00328022726544963,0.0100152393448429
"NPY4R",1.92399443401023,1.38507198895233,0.297524510173848,4.6553206259982,3.23476921468426e-06,2.18691498932783e-05
"AL139294.1",0.485349257562371,1.38501364643977,0.415511640291485,3.33327279463982,0.00085830742034692,0.00311667930861705
"RASGRF2-AS1",1.42185773430737,1.3847529879207,0.281396157580686,4.9210088717137,8.60992271758461e-07,6.74175833263997e-06
"KIF4A",153.945036397563,1.3837913531885,0.162110833178154,8.53608192654073,1.38849926774654e-17,1.17918453231797e-15
"AL445649.1",3.4902375084525,1.38352603216435,0.492447390412737,2.80949002695449,0.00496200564801117,0.0143845932153924
"SEPT12",1.83723984841428,1.38319501137243,0.300491365214662,4.60311067635609,4.1622689225055e-06,2.74231784989955e-05
"SLC9A9-AS2",0.534563491497206,1.38292967698359,0.410174442662426,3.37156471282572,0.000747424769715149,0.00275899563629845
"AC011471.3",0.588762712633037,1.38258835279444,0.485325287878597,2.84878696273559,0.00438862560522218,0.0129344021430169
"AC089983.1",1.43116851412071,1.38203691766147,0.352708526832987,3.91835414377688,8.91556520492814e-05,0.000421777339927864
"LINC01545",4.14769094806649,1.38199911807989,0.170956011380977,8.08394572917412,6.27042445405801e-16,3.74825558528156e-14
"SLC34A1",400.022516076585,1.38189939730236,0.268757341458637,5.14181078664616,2.72103082059187e-07,2.3952526100169e-06
"LINC01014",13.0767036107553,1.38169866980396,0.258175990763574,5.35177057214919,8.70977834004756e-08,8.59959574081623e-07
"SERPINA12",0.476689906649657,1.38142286723178,0.446159737905719,3.09625174543136,0.00195983894053172,0.00639826843278078
"CILP2",29.9916676913229,1.38115482249632,0.204235721635017,6.76255265944387,1.3558137420117e-11,3.10789266569578e-10
"CLCA2",13.087887851736,1.38112170474125,0.353913947345822,3.90242236876783,9.52347872381997e-05,0.000446893783947129
"BDKRB1",16.4184849154024,1.38015708590122,0.257929926486469,5.35089938845706,8.75181721579345e-08,8.63667941059975e-07
"BANCR",1.13557527934104,1.37937473578911,0.402581359234869,3.42632539770521,0.00061180696352256,0.00231847837304664
"ZFY",92.8030730281667,1.37919127573366,0.31020914516405,4.44600456573997,8.74820895073396e-06,5.35050673071857e-05
"ELOVL3",10.9986340281157,1.37865904498746,0.214993676162981,6.41255626487514,1.43099584717577e-10,2.65768188264494e-09
"IGKV3-20",857.453595814151,1.37835131529407,0.319514278472129,4.31389583553245,1.60402544942681e-05,9.17714872059655e-05
"KIAA0319",114.536277631289,1.37770742072625,0.194572653619785,7.08068371940097,1.43444952997831e-12,4.14592474346655e-11
"HOXC13-AS",2.43241214179233,1.37712322968808,0.355354421205282,3.87535133238864,0.00010647096862422,0.000493541868612963
"AC018781.1",1.55526047197942,1.37619217610228,0.304149917177412,4.52471659000827,6.04764913846539e-06,3.83004533808593e-05
"IGHV3-7",13.2982046189248,1.37617069801177,0.381631403953676,3.60602058361743,0.000310928484409549,0.00127127875343527
"LINC00028",1.06420657809867,1.3748702550196,0.324801533919794,4.23295493228522,2.30640736789206e-05,0.000126709737657135
"ESCO2",58.5615473715782,1.37484035136495,0.158880355298865,8.65330612320684,5.00285966135237e-18,4.70464041714883e-16
"IGLV1-41",9.97196888495502,1.37458817560752,0.447989026252425,3.06835233690075,0.0021524267391491,0.00695341142477024
"SLC36A2",36.9692184113331,1.37380185951062,0.328797968840308,4.178255310871,2.93753799488858e-05,0.000157195995740353
"CCDC74BP1",0.507532264384746,1.37308687354616,0.584804160190132,2.34794306712822,0.0188774065111419,0.0451067279156325
"PHEX",100.747098373159,1.3718931881148,0.191025469077502,7.18172919422697,6.88351670380558e-13,2.13516387797207e-11
"TAF1L",1.14202724262052,1.37167300899475,0.271591098059537,5.05050798349089,4.40636693955219e-07,3.68795743582268e-06
"LINC01812",1.66750059961264,1.37161887709923,0.383745675623382,3.57429142327423,0.000351177624985031,0.00141646662924185
"ADH1C",23.4912234693943,1.37103890852008,0.243465337053221,5.63135157190928,1.78802818233694e-08,2.04688879448287e-07
"LINC00661",0.901479622964355,1.3710371088698,0.466726473597629,2.93756019087915,0.00330805949119293,0.0100858407197877
"LHX2",5.32174637527859,1.37093167058222,0.245972792953233,5.57350938745032,2.49658193428604e-08,2.76842718027991e-07
"AC078923.1",6.0631675258212,1.37091903315409,0.311865282138798,4.39586934381479,1.10330287004579e-05,6.56161429237784e-05
"TFAMP1",0.600553486788751,1.37052911004865,0.452261439244777,3.03039125408806,0.00244237121571083,0.00776195718702165
"TTK",99.6124796924835,1.37024843671235,0.152580556568843,8.98049179742051,2.69559149007856e-19,3.26827753117827e-17
"DPP3P2",0.348727223537687,1.37001422139354,0.564320223295933,2.42772483571813,0.0151938659753193,0.0374705575377007
"HSPB3",0.859213749111965,1.36978689888867,0.50376780491952,2.71908384281822,0.00654630124086032,0.0182343007255173
"LINC01775",0.657665946057478,1.36909106674382,0.282952209658404,4.83859471674267,1.30760377853923e-06,9.78570871222024e-06
"AC006970.2",1.42411639112953,1.36844343739621,0.319146274465192,4.28782519767579,1.80430991303406e-05,0.000101929630779401
"LAIR2",9.04085915216894,1.36822134704251,0.232869757241773,5.87547890824644,4.21622648887272e-09,5.52927988112165e-08
"PCSK9",3.90878478835393,1.36795988426772,0.305361075349705,4.47981093432132,7.47091853816896e-06,4.63473427445925e-05
"TPX2",545.988086513095,1.36756289845354,0.154069882599185,8.87625066873891,6.91519012353259e-19,7.86495782899476e-17
"AC006157.1",2.92428971865885,1.36746744437651,0.365869117077986,3.73758642242831,0.000185795236189839,0.000809071733288393
"MCOLN3",174.401154690146,1.36729646664698,0.242345352712476,5.64193392340052,1.68150635692205e-08,1.93413362462669e-07
"AC005625.1",2.32511623942332,1.36725024781908,0.255599362213699,5.34919272089561,8.83474241812893e-08,8.71628271938022e-07
"DPYSL4",67.6882434562801,1.36697296234922,0.264924955784185,5.15984973292888,2.47148130588314e-07,2.19557742392865e-06
"NPHS2",11.284397504758,1.36695723531571,0.496804735355752,2.75149799918242,0.00593233822131676,0.0167897843691616
"IGKV1-12",13.90625872159,1.36683984895632,0.425724788899459,3.21061841968315,0.00132449683004247,0.00453971906650526
