"","x"
"792","FTLP10"
"793","GABRB2"
"794","LOC100507336"
"795","TSPAN2"
"796","KRT85"
"797","NEGR1"
"798",NA
"799",NA
"800","UGT2A1"
"801","SPTBN2"
"802","FHAD1-AS1"
"803","TCEAL2"
"804","ACOT6"
"805",NA
"806","DACH1"
"807","GNA14"
"808","FRMD1"
"809","GYPA"
"810","GAS2L1P2"
"811",NA
"812","NEXMIF"
"813","FAM245A"
"814",NA
"815","SPATA16"
"816","AGTR1"
"817",NA
"818","SORCS2"
"819","BPI"
"820","AADACL4"
"821","LRRC10B"
"822",NA
"823",NA
"824","GMNC"
"825","DPEP1"
"826","PLAT"
"827","GFRA3"
"828","CPAMD8"
"829","LINC00443"
"830",NA
"831","GPBAR1"
"832","SEMA6D"
"833","GPM6A"
"834","UNC5C"
"835",NA
"836","SYNPR"
"837",NA
"838","PCDH11Y"
"839","LOC401040"
"840","KIAA1210"
"841","TTPA"
"842","RGPD3"
"843","TMC1"
"844","PXDNL"
"845",NA
"846","THY1"
"847",NA
"848","KBTBD12"
"849","COL18A1-AS1"
"850",NA
"851","PCOLCE2"
"852","PNPLA3"
"853","FOLH1"
"854","RXRG"
"855","RASD1"
"856","PPP1R16B"
"857",NA
"858","LOC100505851"
"859",NA
"860","PLIN1"
"861","SPINK1"
"862","PLCL1"
"863","ADAM2"
"864",NA
"865",NA
"866","WSCD2"
"867","LINC01018"
"868","LINC01447"
"869","PDILT"
"870",NA
"871","DCN"
"872",NA
"873","TMEM45B"
"874",NA
"875","DGKI"
"876","LINC01031"
"877",NA
"878","OR7E108P"
"879","NR4A1"
"880",NA
"881",NA
"882","CSF3"
"883","LINC01213"
"884","AVPR2"
"885","GPR143P"
"886","PTPRT"
"887","SLC22A13"
"888","STAC2"
"889","LINC02436"
"890","UNC45B"
"891","ASCL4"
"892","TRAPPC3L"
"893","RNF152"
"894","CDH3"
"895","CSMD3"
"896","SLC7A9"
"897","RIMBP2"
"898","VN1R51P"
"899","LINC00442"
