"","x"
"1000",NA
"1001",NA
"1002","ANK1"
"1003",NA
"1004",NA
"1005","ANXA13"
"1006",NA
"1007","LOC441239"
"1008","MKI67"
"1009","PBK"
"1010",NA
"1011","KIAA0319"
"1012","RBAKDN"
"1013","ENO2"
"1014","TTC6"
"1015","RPS6P8"
"1016","LINC01271"
"1017","CA6"
"1018","PCAT2"
"1019","RGS17"
"1020",NA
"1021","H2AC13"
"1022",NA
"1023","OR2A4"
"1024","FAM225A"
"1025","CENPF"
"1026",NA
"1027","LINC00494"
"1028","LIPC"
"1029","KCNN1"
"1030",NA
"1031","ANLN"
"1032",NA
"1033",NA
"1034","PARD3-AS1"
"1035",NA
"1036","KCNC2"
"1037","SLFN13"
"1038",NA
"1039",NA
"1040","CHRNA5"
"1041",NA
"1042","LINC00954"
"1043",NA
"1044",NA
"1045","RN7SL248P"
"1046",NA
"1047",NA
"1048",NA
"1049",NA
"1050","GINS2"
"1051",NA
"1052","DNAH3"
"1053","MCEMP1"
"1054",NA
"1055","RNU1-67P"
"1056","IGSF6"
"1057",NA
"1058","HAGHL"
"1059","LINC01500"
"1060","C1QB"
"1061",NA
"1062",NA
"1063",NA
"1064","SEZ6L"
"1065","NBL1"
"1066","GATA4"
"1067",NA
"1068",NA
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",NA
"1076",NA
"1077","TREML4"
"1078",NA
"1079",NA
"1080",NA
"1081",NA
"1082",NA
"1083",NA
"1084","MRPS36P5"
"1085",NA
"1086","LEMD1"
"1087",NA
"1088","WDR38"
"1089",NA
"1090",NA
"1091",NA
"1092","TLX3"
"1093","KRT23"
"1094","ODAPH"
"1095","CYP27C1"
"1096",NA
"1097","PLPP2"
"1098","FCGR1CP"
"1099","MIR561"
"1100","CLVS1"
"1101",NA
"1102","NXPE4"
"1103",NA
"1104","TNNI2"
"1105",NA
"1106",NA
"1107","HAVCR1"
"1108","STMN3"
"1109","LINC00244"
"1110","LINC02476"
"1111","RNASE3"
"1112",NA
"1113","CXCL1"
"1114","BARX1"
"1115",NA
"1116",NA
"1117","RNA5SP498"
"1118","KCNMA1-AS1"
"1119","TMEM92"
"1120","RIN1"
"1121","SNCB"
"1122",NA
"1123","DGCR5"
"1124","STAC3"
"1125",NA
"1126",NA
"1127","FCER1G"
"1128",NA
"1129",NA
"1130","PMCH"
"1131",NA
"1132",NA
"1133","CLDN3"
"1134","OPN5"
"1135","LOC388996"
"1136",NA
"1137","LINC01121"
"1138","BHLHE41"
"1139",NA
"1140","NKAIN3"
"1141","PSG8"
"1142","CSTA"
"1143",NA
"1144",NA
"1145","MIR513C"
"1146","TRPM2"
"1147","LNCTAM34A"
"1148","HHLA2"
"1149","TEDC2"
"1150","FCGR3A"
"1151","GABBR2"
"1152","RPS3AP46"
"1153",NA
"1154","MYT1L"
"1155","TYR"
"1156","MMP11"
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161","RPL23AP77"
"1162","LINC01029"
"1163","ISL1"
"1164","RPSAP24"
"1165",NA
"1166","RNU7-84P"
"1167","CELSR3"
"1168",NA
"1169","DMRT1"
"1170","CAMK2N2"
"1171","VN2R10P"
"1172","CSF3R"
"1173",NA
"1174","SLC16A6"
"1175","PLCD3"
"1176","PRTN3"
"1177","LHX5"
"1178","ANXA8L1"
"1179","ODAD2"
"1180","MS4A6E"
"1181",NA
"1182",NA
"1183","LOC105377267"
"1184",NA
"1185","MMP8"
"1186",NA
"1187","ORM2"
"1188","LOC101929773"
"1189","POTEC"
"1190","MAFA-AS1"
"1191",NA
"1192",NA
"1193",NA
"1194","LILRA6"
"1195","CALB2"
"1196","ATP1A3"
"1197",NA
"1198","H2AC11"
"1199","LAMA3"
"1200",NA
"1201","CCND2"
"1202","MAGEA11"
"1203",NA
"1204","ADD2"
"1205","CYP2C9"
"1206","LINC02347"
"1207","MDK"
"1208","CFAP20DC-AS1"
"1209",NA
"1210","C19orf84"
"1211",NA
"1212","LINC02310"
"1213","KBTBD11-AS1"
"1214",NA
"1215","MIR3142HG"
"1216","MTATP6P3"
"1217",NA
"1218",NA
"1219","ALAS2"
"1220",NA
"1221","KRT222"
"1222",NA
"1223","ABCC3"
"1224","ZBBX"
"1225","BATF"
"1226","SATB2-AS1"
"1227","RN7SL541P"
"1228","LINC01664"
"1229","PCAT5"
"1230","C6orf141"
"1231","LOC541473"
"1232","LINC00299"
"1233","NPIPB9"
"1234","CYP21A1P"
"1235","CERS1"
"1236","LINC01910"
"1237","POLR2LP1"
"1238","RPL31P55"
"1239",NA
"1240",NA
"1241","SNORD104"
"1242","CFAP20DC"
"1243","PXDN"
"1244","CDH6"
"1245","TM4SF4"
"1246","CRNDE"
"1247",NA
"1248","TUBB8P11"
"1249",NA
"1250","LINC01036"
"1251",NA
"1252","NETO1-DT"
"1253",NA
"1254","EDA2R"
"1255","LOC101929427"
"1256","MS4A14"
"1257",NA
"1258","CLDN1"
"1259",NA
"1260",NA
"1261","IGDCC4"
"1262",NA
"1263","MOBP"
"1264","GPC5-AS1"
"1265","RNU6-1263P"
"1266",NA
"1267","SKA1"
"1268","PURG"
"1269","FMNL1-DT"
"1270","SLC6A7"
"1271",NA
"1272","SLC2A14"
"1273",NA
"1274",NA
"1275","LINC00327"
"1276",NA
"1277","ZMYND10"
"1278","NAT16"
"1279",NA
"1280",NA
"1281",NA
"1282","NDUFB4P11"
"1283","ZIC5"
"1284",NA
"1285",NA
"1286",NA
"1287","NCAPG"
"1288","LINC02626"
"1289","TBC1D3B"
"1290","RAB7B"
"1291",NA
"1292",NA
"1293","PIK3R6"
"1294","LINC01914"
"1295",NA
"1296","NKAIN1"
"1297","LINC02612"
"1298",NA
"1299","LRRC36"
"1300","RUNDC3A"
"1301","FAM189A1"
"1302","CGB3"
"1303","LOC100505841"
"1304","MIR3609"
"1305","RNU6-94P"
"1306",NA
"1307",NA
"1308","NPIPB13"
"1309","TYMP"
"1310",NA
"1311",NA
"1312","KIF4A"
"1313","CFAP44-AS1"
"1314","OTOG"
"1315",NA
"1316",NA
"1317",NA
"1318","WNT10B"
"1319","AADAC"
"1320","EFNA2"
"1321","LOC101059948"
"1322","LOC644669"
"1323","MET"
"1324",NA
"1325","SPAG4"
"1326","CTSE"
"1327",NA
"1328",NA
"1329","PAQR6"
"1330","DUXAP8"
"1331","LRRK2"
"1332","SOX3"
"1333","KLHDC7B-DT"
"1334",NA
"1335","MUC22"
"1336",NA
"1337","DNAH2"
"1338",NA
"1339","DCLK1"
"1340","S100A7"
"1341",NA
"1342","NCF1C"
"1343",NA
"1344",NA
"1345",NA
"1346","MIR663AHG"
"1347",NA
"1348","LOC101928978"
"1349",NA
"1350","VNN3"
"1351",NA
"1352","CDCA2"
"1353","PNMA2"
"1354","NUF2"
"1355","DPEP2"
"1356","MTATP6P18"
"1357","MAST1"
"1358",NA
"1359","BCHE"
"1360","RN7SL659P"
"1361",NA
"1362",NA
"1363","PAGE2B"
"1364","B3GALT5"
"1365",NA
"1366","BRINP2"
"1367",NA
"1368","TNFRSF18"
"1369",NA
"1370","LINC02003"
"1371","SRP68P1"
"1372","TARDBPP2"
"1373","LINC01275"
"1374",NA
"1375",NA
"1376","OSTM1-AS1"
"1377","LINC01152"
"1378","FKBP6"
"1379","ANKRD13B"
"1380","MYO3A"
"1381","ANKRD18DP"
"1382","LYG1"
"1383","PPP1R3G"
"1384",NA
"1385","SPEM2"
"1386","RPL24P9"
"1387",NA
"1388","JSRP1"
"1389","CCDC88B"
"1390","C7orf57"
"1391",NA
"1392",NA
"1393",NA
"1394","ELFN2"
"1395",NA
"1396",NA
"1397","KRT34"
"1398",NA
"1399","HOXC11"
"1400","CHAT"
"1401",NA
"1402","TBC1D3"
"1403",NA
"1404",NA
"1405","UROC1"
"1406","IL32"
"1407","PARVG"
"1408","LPAR5"
"1409","ANXA1"
"1410",NA
"1411",NA
"1412","CRACR2A"
"1413","HRH1"
"1414",NA
"1415","GOLGA8M"
"1416","LOC101929297"
"1417","ASTN2-AS1"
"1418",NA
"1419",NA
"1420",NA
"1421","KRTAP4-1"
"1422","RNASET2"
"1423","RNU6-26P"
"1424","SHOX2"
"1425","SLC16A3"
"1426","LOC101928855"
"1427","FDPSP7"
"1428","RPS16P4"
"1429","APCS"
"1430","HK3"
"1431",NA
"1432","FCGR1B"
"1433","GDF5"
"1434","LINC01732"
"1435","TRIM73"
"1436","AFF2"
"1437","CYP3A5"
"1438",NA
"1439","CD300A"
"1440","VSTM1"
"1441",NA
"1442",NA
"1443",NA
"1444",NA
"1445","LOC646870"
"1446",NA
"1447","LINC02212"
"1448","ASNSP1"
"1449",NA
"1450",NA
"1451","LOC613206"
"1452","SIGLEC7"
"1453",NA
"1454",NA
"1455","LINC00607"
"1456",NA
"1457","LINC02860"
"1458",NA
"1459","E2F8"
"1460",NA
"1461","GRIN3B"
"1462","CSAG1"
"1463","DDX43P3"
"1464",NA
"1465","KIR2DS4"
"1466","TXLNB"
"1467","SIGLEC9"
"1468","PLK1"
"1469",NA
"1470","MIR1249"
"1471","HBM"
"1472",NA
"1473","BCAN"
"1474","TRIML2"
"1475","SOSTDC1"
"1476",NA
"1477","MIR510"
"1478","NLGN1-AS1"
"1479","POGLUT2"
"1480","NHS-AS1"
"1481","LINC02800"
"1482","TIMP1"
"1483","VSX1"
"1484",NA
"1485","NPY4R2"
"1486",NA
"1487","LINC02828"
"1488",NA
"1489",NA
"1490","ANKRD33"
"1491","LOC283710"
"1492","LOC105374461"
"1493","NCF1"
"1494",NA
"1495",NA
"1496","NCAPH"
"1497",NA
"1498",NA
"1499",NA
"1500","PIK3R5"
"1501",NA
"1502",NA
"1503","GAL3ST4"
"1504",NA
"1505",NA
"1506",NA
"1507","SCARNA5"
"1508","SCARB1"
"1509",NA
"1510",NA
"1511",NA
"1512","C1QC"
"1513","OTOF"
